Designator,Comment,Exclude from BOM,Footprint,LCSC
C1,C_Polarized_Small,,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,C330941
C2,470uF 16V,,lcsc_footprints:C46550425_CAP-TH_BD10_0-P5_00-D0_6-FD-A,C2837182
C3,470uF 16V,,lcsc_footprints:C46550425_CAP-TH_BD10_0-P5_00-D0_6-FD-A,C2837182
C4,100uF,,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,C1669449
C5,C_Polarized_Small,,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,C330941
C6,680nF,Excluded from BOM,Capacitor_THT:C_Rect_L24.0mm_W8.3mm_P22.50mm_MKT,
C7,100nF,,Capacitor_SMD:C_1206_3216Metric,C24497
C8,100uF,,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,C1669449
C9,1uF,,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,C330941
C10,1uF,,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,C330941
C11,100nF,,Capacitor_SMD:C_1206_3216Metric,C24497
C12,100nF 1206,,Capacitor_SMD:C_1206_3216Metric,C24497
C13,100nF-1206,,Capacitor_SMD:C_1206_3216Metric,C24497
D1,1N5819,,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,C16588
D2,1N5819,,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,C16588
D3,1N5819,,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,C16588
D4,1N5819,,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,C16588
D5,1N5819,,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,C16588
D6,1N5819,,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,C16588
H1,MountingHole,Excluded from BOM,MountingHole:MountingHole_3.2mm_M3_Pad_Via,
H2,MountingHole,Excluded from BOM,MountingHole:MountingHole_3.2mm_M3_Pad_Via,
H3,MountingHole,Excluded from BOM,MountingHole:MountingHole_3.2mm_M3_Pad_Via,
H4,MountingHole,Excluded from BOM,MountingHole:MountingHole_3.2mm_M3_Pad_Via,
J1,Conn_01x02,Excluded from BOM,Connector_JST:JST_VH_B2P-VH_1x02_P3.96mm_Vertical,
J2,Conn_01x02,Excluded from BOM,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
J3,Conn_01x03,Excluded from BOM,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,
L1,MDA1365-470M,,lcsc_footprints:C2847587_IND-SMD_L13_5-W12_6_TMPA1265SP-100MN-D,C2847587
L2,MDA1365-470M,,lcsc_footprints:C2847587_IND-SMD_L13_5-W12_6_TMPA1265SP-100MN-D,C2847587
LS1,8 Ohms,Excluded from BOM,Connector_JST:JST_VH_B2P-VH_1x02_P3.96mm_Vertical,
Q1,IRFB4227PBF,,lcsc_footprints:C2652_TO-220-3_L10_0-W4_5-P2_54-L,C2652
Q2,IRFB4227PBF,,lcsc_footprints:C2652_TO-220-3_L10_0-W4_5-P2_54-L,C2652
Q3,IRFB4227PBF,,lcsc_footprints:C2652_TO-220-3_L10_0-W4_5-P2_54-L,C2652
Q4,IRFB4227PBF,,lcsc_footprints:C2652_TO-220-3_L10_0-W4_5-P2_54-L,C2652
R1,R_Small_US,,Resistor_SMD:R_1206_3216Metric,C17903
R2,10,,Resistor_SMD:R_1206_3216Metric,C17903
R3,10,,Resistor_SMD:R_1206_3216Metric,C17903
R4,10,,Resistor_SMD:R_1206_3216Metric,C17903
R5,10k-1206,,Resistor_SMD:R_1206_3216Metric,C17902
R6,10k-1206,,Resistor_SMD:R_1206_3216Metric,C17902
SW1,K2-2235D-F1,,lcsc_footprints:C108742_SW-TH_K2-2235D-F1,C108742
SW2,K2-2235D-F1,,lcsc_footprints:C108742_SW-TH_K2-2235D-F1,C108742
GQ1,TestPoint,,lcsc_footprints:C5277086_TEST-TH_BD2_54-P1_4_RED,C5277086
GQ2,TestPoint,,lcsc_footprints:C5277086_TEST-TH_BD2_54-P1_4_RED,C5277086
GQ3,TestPoint,,lcsc_footprints:C5277086_TEST-TH_BD2_54-P1_4_RED,C5277086
GQ4,TestPoint,,lcsc_footprints:C5277086_TEST-TH_BD2_54-P1_4_RED,C5277086
GNDT1,TestPoint,,lcsc_footprints:C5277086_TEST-TH_BD2_54-P1_4_RED,C5277086
GNDT2,TestPoint,,lcsc_footprints:C5277086_TEST-TH_BD2_54-P1_4_RED,C5277086
GNDT3,TestPoint,,lcsc_footprints:C5277086_TEST-TH_BD2_54-P1_4_RED,C5277086
N1,TestPoint,,lcsc_footprints:C5277086_TEST-TH_BD2_54-P1_4_RED,C5277086
N2,TestPoint,,lcsc_footprints:C5277086_TEST-TH_BD2_54-P1_4_RED,C5277086
U1,IR2110,Excluded from BOM,Package_DIP:DIP-14_W7.62mm_Socket,
U2,IR2110,Excluded from BOM,Package_DIP:DIP-14_W7.62mm_Socket,
