Designator,Mid X,Mid Y,Layer,Rotation
C1,66.354888,-67.945,top,0
C2,94.615,-44.45,top,0
C3,137.795,-44.45,top,0
C4,163.205,-78.74,top,0
C5,66.354888,-55.245,top,0
C6,127.5,-48.25,top,180
C7,83.82,-45.72,top,180
C8,66.777349,-76.835,top,0
C9,165.005,-56.515,top,0
C10,164.144888,-67.945,top,0
C11,149.225,-46.355,top,180
C12,67.31,-61.595,top,-90
C13,167.005,-62.23,top,180
D1,53.75,-49.51,top,0
D2,74.295,-58.42,top,90
D3,74.295,-72.39,top,90
D4,159.385,-58.42,top,90
D5,159.4,-72.42,top,90
D6,169.19,-49.52,top,0
GNDT1,78.74,-43.18,top,0
GNDT2,163.195,-43.18,top,0
GNDT3,105.41,-73.66,top,0
GQ1,64.77,-43.18,top,0
GQ2,71.755,-43.18,top,0
GQ3,154.94,-43.18,top,0
GQ4,146.05,-76.2,top,0
J1,136.525,-72.24,top,-90
J2,97.77,-74.185,top,180
J3,116.73,-71.795,top,-90
L1,96.52,-60.325,top,0
L2,135.89,-60.325,top,0
LS1,117.9625,-60.96,top,180
N1,77.47,-78.105,top,0
N2,126.365,-73.66,top,0
Q1,83.185,-53.975,top,-90
Q2,83.185,-66.675,top,-90
Q3,148.59,-53.975,top,-90
Q4,148.59,-66.675,top,-90
R1,78.74,-53.975,top,90
R2,78.74,-66.675,top,90
R3,154.94,-53.975,top,-90
R4,154.94,-66.8675,top,-90
R5,57.785,-73.66,top,180
R6,175.26,-73.66,top,0
SW1,57.785,-78.74,top,0
SW2,175.26,-78.535,top,0
U1,53.975,-54.615,top,0
U2,179.07,-69.85,top,180
